gene,phenotype,chromosome,start,end,bf_common,bf_rare,huge,position,logHugeScore,range
"PLA2G12B","CHOL","10",74694520,74714564,45,1,45,"10 : 74694520 - 74714564",3.8066624897703196,"Very strong"
"RN7SKP27","CHOL","2",23084424,23084756,45,1,45,"2 : 23084424 - 23084756",3.8066624897703196,"Very strong"
"ABCA5","CHOL","17",67240452,67323385,45,1,45,"17 : 67240452 - 67323385",3.8066624897703196,"Very strong"
"C2CD2L","CHOL","11",118972908,118989254,45,1,45,"11 : 118972908 - 118989254",3.8066624897703196,"Very strong"
"DRC1","CHOL","2",26624788,26679579,45,1,45,"2 : 26624788 - 26679579",3.8066624897703196,"Very strong"
"ENSG00000236674","CHOL","1",63825494,63826850,45,1,45,"1 : 63825494 - 63826850",3.8066624897703196,"Very strong"
"ENSG00000265287","CHOL","17",26934981,26936748,45,1,45,"17 : 26934981 - 26936748",3.8066624897703196,"Very strong"
"ENSG00000279772","CHOL","5",122844430,122844881,45,1,45,"5 : 122844430 - 122844881",3.8066624897703196,"Very strong"
"HYKK","CHOL","15",78799906,78829714,45,1,45,"15 : 78799906 - 78829714",3.8066624897703196,"Very strong"
"LGALS8","CHOL","1",236681300,236716281,45,1,45,"1 : 236681300 - 236716281",3.8066624897703196,"Very strong"
"RELB","CHOL","19",45504719,45541450,45,1,45,"19 : 45504719 - 45541450",3.8066624897703196,"Very strong"
"RP4-781K5.7","CHOL","1",234845135,234855723,45,1,45,"1 : 234845135 - 234855723",3.8066624897703196,"Very strong"
"UBE2L3","CHOL","22",21903736,21978323,45,1,45,"22 : 21903736 - 21978323",3.8066624897703196,"Very strong"
"ZFPM1","CHOL","16",88519688,88603439,45,1,45,"16 : 88519688 - 88603439",3.8066624897703196,"Very strong"
"CNIH3","CHOL","1",224622362,224928256,45,1,45,"1 : 224622362 - 224928256",3.8066624897703196,"Very strong"
"ENSG00000235852","CHOL","2",191745523,191746785,45,1,45,"2 : 191745523 - 191746785",3.8066624897703196,"Very strong"
"EVX2","CHOL","2",176942200,176948690,45,1,45,"2 : 176942200 - 176948690",3.8066624897703196,"Very strong"
"PON1","CHOL","7",94926988,94953844,45,1,45,"7 : 94926988 - 94953844",3.8066624897703196,"Very strong"
"PSG3","CHOL","19",43225790,43244633,45,1,45,"19 : 43225790 - 43244633",3.8066624897703196,"Very strong"
"SLC17A8","CHOL","12",100750852,100815833,45,1,45,"12 : 100750852 - 100815833",3.8066624897703196,"Very strong"
"SNX13","CHOL","7",17830385,17980124,45,1,45,"7 : 17830385 - 17980124",3.8066624897703196,"Very strong"
"AFF1","CHOL","4",87856154,88062191,45,1,45,"4 : 87856154 - 88062191",3.8066624897703196,"Very strong"
"BLMH","CHOL","17",28575221,28619074,45,1,45,"17 : 28575221 - 28619074",3.8066624897703196,"Very strong"
"CYB5RL","CHOL","1",54635324,54665709,45,1,45,"1 : 54635324 - 54665709",3.8066624897703196,"Very strong"
"ENSG00000236376","CHOL","9",78194585,78203464,45,1,45,"9 : 78194585 - 78203464",3.8066624897703196,"Very strong"
"HMGN2P18","CHOL","1",155121020,155121289,45,1,45,"1 : 155121020 - 155121289",3.8066624897703196,"Very strong"
"RNU6-1133P","CHOL","6",31050787,31050886,45,1,45,"6 : 31050787 - 31050886",3.8066624897703196,"Very strong"
"AC007358.1","CHOL","2",202817980,202818059,45,1,45,"2 : 202817980 - 202818059",3.8066624897703196,"Very strong"
"CDC42SE2","CHOL","5",130581186,130734140,45,1,45,"5 : 130581186 - 130734140",3.8066624897703196,"Very strong"
"ENSG00000251185","CHOL","4",76194278,76286392,45,1,45,"4 : 76194278 - 76286392",3.8066624897703196,"Very strong"
"SHISAL2A","CHOL","1",53098840,53135355,45,1,45,"1 : 53098840 - 53135355",3.8066624897703196,"Very strong"
"TBC1D4","CHOL","13",75857639,76056305,45,1,45,"13 : 75857639 - 76056305",3.8066624897703196,"Very strong"
"TRIB1AL","CHOL","8",126479181,126553615,45,1,45,"8 : 126479181 - 126553615",3.8066624897703196,"Very strong"
"ENSG00000236924","CHOL","9",6645812,6694715,45,1,45,"9 : 6645812 - 6694715",3.8066624897703196,"Very strong"
"LINC02555","CHOL","12",40534728,40536678,45,1,45,"12 : 40534728 - 40536678",3.8066624897703196,"Very strong"
"PMPCA","CHOL","9",139305082,139322444,45,1,45,"9 : 139305082 - 139322444",3.8066624897703196,"Very strong"
"SEPTIN9","CHOL","17",75276651,75496678,45,1,45,"17 : 75276651 - 75496678",3.8066624897703196,"Very strong"
"SYNJ2BP-COX16","CHOL","14",70792781,70883791,45,1,45,"14 : 70792781 - 70883791",3.8066624897703196,"Very strong"
"TSC2","CHOL","16",2097968,2139492,45,1,45,"16 : 2097968 - 2139492",3.8066624897703196,"Very strong"
"UGT2B25P","CHOL","4",70255210,70267799,45,1,45,"4 : 70255210 - 70267799",3.8066624897703196,"Very strong"
"VIM-AS1","CHOL","10",17256238,17272017,45,1,45,"10 : 17256238 - 17272017",3.8066624897703196,"Very strong"
"ZNF878","CHOL","19",12154620,12163776,45,1,45,"19 : 12154620 - 12163776",3.8066624897703196,"Very strong"
"ADGRG7","CHOL","3",100328445,100414323,45,1,45,"3 : 100328445 - 100414323",3.8066624897703196,"Very strong"
"C1orf105","CHOL","1",172389825,172437971,45,1,45,"1 : 172389825 - 172437971",3.8066624897703196,"Very strong"
"COBLL1","CHOL","2",165510134,165700189,45,1,45,"2 : 165510134 - 165700189",3.8066624897703196,"Very strong"
"COX7A2L","CHOL","2",42560686,42652228,45,1,45,"2 : 42560686 - 42652228",3.8066624897703196,"Very strong"
"EDAR","CHOL","2",109510927,109605828,45,1,45,"2 : 109510927 - 109605828",3.8066624897703196,"Very strong"
"ENSG00000247372","CHOL","5",74615980,74632739,45,1,45,"5 : 74615980 - 74632739",3.8066624897703196,"Very strong"
"ENSG00000277301","CHOL","20",31097762,31108088,45,1,45,"20 : 31097762 - 31108088",3.8066624897703196,"Very strong"
"FOXJ3","CHOL","1",42642210,42801548,45,1,45,"1 : 42642210 - 42801548",3.8066624897703196,"Very strong"
"LIN7B","CHOL","19",49617581,49621717,45,1,45,"19 : 49617581 - 49621717",3.8066624897703196,"Very strong"
"LNX1","CHOL","4",54325468,54567572,45,1,45,"4 : 54325468 - 54567572",3.8066624897703196,"Very strong"
"NXPH4","CHOL","12",57610577,57620232,45,1,45,"12 : 57610577 - 57620232",3.8066624897703196,"Very strong"
"PHGDH","CHOL","1",120191034,120286841,45,1,45,"1 : 120191034 - 120286841",3.8066624897703196,"Very strong"
"PPARA","CHOL","22",46546424,46639652,45,1,45,"22 : 46546424 - 46639652",3.8066624897703196,"Very strong"
"PRRC2A","CHOL","6",31588492,31605548,45,1,45,"6 : 31588492 - 31605548",3.8066624897703196,"Very strong"
"TRAFD1","CHOL","12",112563342,112591408,45,1,45,"12 : 112563342 - 112591408",3.8066624897703196,"Very strong"
"TRPS1","CHOL","8",116420724,116821899,45,1,45,"8 : 116420724 - 116821899",3.8066624897703196,"Very strong"
"ARFGEF2","CHOL","20",47538248,47653230,45,1,45,"20 : 47538248 - 47653230",3.8066624897703196,"Very strong"
"ENSG00000273091","CHOL","21",33108045,33108720,45,1,45,"21 : 33108045 - 33108720",3.8066624897703196,"Very strong"
"ENSG00000275016","CHOL","15",96181545,96369728,45,1,45,"15 : 96181545 - 96369728",3.8066624897703196,"Very strong"
"ENSG00000284951","CHOL","10",26667963,26676303,45,1,45,"10 : 26667963 - 26676303",3.8066624897703196,"Very strong"
"PDXDC2P","CHOL","16",70044654,70099679,45,1,45,"16 : 70044654 - 70099679",3.8066624897703196,"Very strong"
"SLC51A","CHOL","3",195938358,195970049,45,1,45,"3 : 195938358 - 195970049",3.8066624897703196,"Very strong"
"CPEB2","CHOL","4",15004105,15071777,45,1,45,"4 : 15004105 - 15071777",3.8066624897703196,"Very strong"
"ENSG00000254420","CHOL","11",78035804,78155095,45,1,45,"11 : 78035804 - 78155095",3.8066624897703196,"Very strong"
"ERC1","CHOL","12",1099675,1605099,45,1,45,"12 : 1099675 - 1605099",3.8066624897703196,"Very strong"
"FIGN","CHOL","2",164449906,164592522,45,1,45,"2 : 164449906 - 164592522",3.8066624897703196,"Very strong"
"HMGN1","CHOL","21",40714241,40721573,45,1,45,"21 : 40714241 - 40721573",3.8066624897703196,"Very strong"
"LINC01833","CHOL","2",45148216,45166338,45,1,45,"2 : 45148216 - 45166338",3.8066624897703196,"Very strong"
"RNU2-62P","CHOL","6",27077569,27077759,45,1,45,"6 : 27077569 - 27077759",3.8066624897703196,"Very strong"
"SUGT1P3","CHOL","13",41482295,41495792,45,1,45,"13 : 41482295 - 41495792",3.8066624897703196,"Very strong"
"B3GNTL1","CHOL","17",80900025,81009685,45,1,45,"17 : 80900025 - 81009685",3.8066624897703196,"Very strong"
"CNOT1","CHOL","16",58553855,58663789,45,1,45,"16 : 58553855 - 58663789",3.8066624897703196,"Very strong"
"CSN3","CHOL","4",71104099,71117191,45,1,45,"4 : 71104099 - 71117191",3.8066624897703196,"Very strong"
"ENSG00000255750","CHOL","12",26382481,26472653,45,1,45,"12 : 26382481 - 26472653",3.8066624897703196,"Very strong"
"ENSG00000257831","CHOL","14",31717834,31771945,45,1,45,"14 : 31717834 - 31771945",3.8066624897703196,"Very strong"
"ENSG00000282915","CHOL","10",74227507,74233062,45,1,45,"10 : 74227507 - 74233062",3.8066624897703196,"Very strong"
"FAM228A","CHOL","2",24397922,24423718,45,1,45,"2 : 24397922 - 24423718",3.8066624897703196,"Very strong"
"JARID2","CHOL","6",15246300,15522273,45,1,45,"6 : 15246300 - 15522273",3.8066624897703196,"Very strong"
"LINC00466","CHOL","1",63624754,63782945,45,1,45,"1 : 63624754 - 63782945",3.8066624897703196,"Very strong"
"PFDN1","CHOL","5",139624620,139682698,45,1,45,"5 : 139624620 - 139682698",3.8066624897703196,"Very strong"
"RNF215","CHOL","22",30764800,30817760,45,1,45,"22 : 30764800 - 30817760",3.8066624897703196,"Very strong"
"RTKN2","CHOL","10",63942794,64028603,45,1,45,"10 : 63942794 - 64028603",3.8066624897703196,"Very strong"
"TMEM150B","CHOL","19",55824169,55845416,45,1,45,"19 : 55824169 - 55845416",3.8066624897703196,"Very strong"
"ABCB11","CHOL","2",169772008,169887834,45,1,45,"2 : 169772008 - 169887834",3.8066624897703196,"Very strong"
"BRD2","CHOL","6",32936371,32949282,45,1,45,"6 : 32936371 - 32949282",3.8066624897703196,"Very strong"
"C5orf67","CHOL","5",55807394,55902059,45,1,45,"5 : 55807394 - 55902059",3.8066624897703196,"Very strong"
"DENND4C","CHOL","9",19230433,19374279,45,1,45,"9 : 19230433 - 19374279",3.8066624897703196,"Very strong"
"SCAF11","CHOL","12",46312914,46385903,45,1,45,"12 : 46312914 - 46385903",3.8066624897703196,"Very strong"
"ARHGEF19-AS1","CHOL","1",16524349,16524852,45,1,45,"1 : 16524349 - 16524852",3.8066624897703196,"Very strong"
"DAGLB","CHOL","7",6448757,6523821,45,1,45,"7 : 6448757 - 6523821",3.8066624897703196,"Very strong"
"FBRSL1","CHOL","12",133066137,133161774,45,1,45,"12 : 133066137 - 133161774",3.8066624897703196,"Very strong"
"LINC01094","CHOL","4",79559934,79604339,45,1,45,"4 : 79559934 - 79604339",3.8066624897703196,"Very strong"
"SRSF10P1","CHOL","18",48684652,48685753,45,1,45,"18 : 48684652 - 48685753",3.8066624897703196,"Very strong"
"XRCC1","CHOL","19",44047463,44084625,45,1,45,"19 : 44047463 - 44084625",3.8066624897703196,"Very strong"
"ZNF439","CHOL","19",11959541,11994565,45,1,45,"19 : 11959541 - 11994565",3.8066624897703196,"Very strong"
"AGRN","CHOL","1",955500,991498,45,1,45,"1 : 955500 - 991498",3.8066624897703196,"Very strong"
"ELL","CHOL","19",18553473,18632926,45,1,45,"19 : 18553473 - 18632926",3.8066624897703196,"Very strong"
"FLRT1","CHOL","11",63803403,63886645,45,1,45,"11 : 63803403 - 63886645",3.8066624897703196,"Very strong"
"KDF1","CHOL","1",27276053,27286959,45,1,45,"1 : 27276053 - 27286959",3.8066624897703196,"Very strong"
"METTL21A","CHOL","2",208445355,208490652,45,1,45,"2 : 208445355 - 208490652",3.8066624897703196,"Very strong"
"MICC","CHOL","6",30382492,30387096,45,1,45,"6 : 30382492 - 30387096",3.8066624897703196,"Very strong"
"MYLIP","CHOL","6",16129317,16148479,45,1,45,"6 : 16129317 - 16148479",3.8066624897703196,"Very strong"
"NACC1","CHOL","19",13227676,13251961,45,1,45,"19 : 13227676 - 13251961",3.8066624897703196,"Very strong"
"UNC79","CHOL","14",93799565,94174222,45,1,45,"14 : 93799565 - 94174222",3.8066624897703196,"Very strong"
"CPEB1","CHOL","15",83211951,83317612,45,1,45,"15 : 83211951 - 83317612",3.8066624897703196,"Very strong"
"DLEU7","CHOL","13",51093500,51418075,45,1,45,"13 : 51093500 - 51418075",3.8066624897703196,"Very strong"
"EEIG2","CHOL","1",109102711,109187522,45,1,45,"1 : 109102711 - 109187522",3.8066624897703196,"Very strong"
"ENSG00000283914","CHOL","17",76244274,76247521,45,1,45,"17 : 76244274 - 76247521",3.8066624897703196,"Very strong"
"LINC01150","CHOL","11",1918245,1929886,45,1,45,"11 : 1918245 - 1929886",3.8066624897703196,"Very strong"
"LINC02104","CHOL","5",39520500,39524828,45,1,45,"5 : 39520500 - 39524828",3.8066624897703196,"Very strong"
"NFIA-AS2","CHOL","1",61378347,61522557,45,1,45,"1 : 61378347 - 61522557",3.8066624897703196,"Very strong"
"NFIC","CHOL","19",3314401,3469215,45,1,45,"19 : 3314401 - 3469215",3.8066624897703196,"Very strong"
"PALM3","CHOL","19",14164175,14172888,45,1,45,"19 : 14164175 - 14172888",3.8066624897703196,"Very strong"
"PRKAA2","CHOL","1",57110987,57181008,45,1,45,"1 : 57110987 - 57181008",3.8066624897703196,"Very strong"
"TMEM131L","CHOL","4",154387498,154557863,45,1,45,"4 : 154387498 - 154557863",3.8066624897703196,"Very strong"
"TPRA1","CHOL","3",127290075,127317110,45,1,45,"3 : 127290075 - 127317110",3.8066624897703196,"Very strong"
"ANLN","CHOL","7",36429430,36493400,45,1,45,"7 : 36429430 - 36493400",3.8066624897703196,"Very strong"
"CYP7A1","CHOL","8",59402737,59412722,45,1,45,"8 : 59402737 - 59412722",3.8066624897703196,"Very strong"
"ENSG00000253859","CHOL","8",82351671,82434053,45,1,45,"8 : 82351671 - 82434053",3.8066624897703196,"Very strong"
"ENSG00000286370","CHOL","2",118293963,118297040,45,1,45,"2 : 118293963 - 118297040",3.8066624897703196,"Very strong"
"IP6K1","CHOL","3",49761727,49823975,45,1,45,"3 : 49761727 - 49823975",3.8066624897703196,"Very strong"
"NFATC1","CHOL","18",77155856,77289325,45,1,45,"18 : 77155856 - 77289325",3.8066624897703196,"Very strong"
"NFIA","CHOL","1",61330931,61928460,45,1,45,"1 : 61330931 - 61928460",3.8066624897703196,"Very strong"
"SPRY4-AS1","CHOL","5",141704774,142051566,45,1,45,"5 : 141704774 - 142051566",3.8066624897703196,"Very strong"
"CLSTN3","CHOL","12",7282294,7311541,45,1,45,"12 : 7282294 - 7311541",3.8066624897703196,"Very strong"
"CSHL1","CHOL","17",61986957,61988701,45,1,45,"17 : 61986957 - 61988701",3.8066624897703196,"Very strong"
"DET1","CHOL","15",89037671,89089912,45,1,45,"15 : 89037671 - 89089912",3.8066624897703196,"Very strong"
"ENSG00000286923","CHOL","7",99595313,99609257,45,1,45,"7 : 99595313 - 99609257",3.8066624897703196,"Very strong"
"GLMN","CHOL","1",92711959,92764544,45,1,45,"1 : 92711959 - 92764544",3.8066624897703196,"Very strong"
"ITCH","CHOL","20",32951041,33099578,45,1,45,"20 : 32951041 - 33099578",3.8066624897703196,"Very strong"
"PTPRC","CHOL","1",198607587,198726605,45,1,45,"1 : 198607587 - 198726605",3.8066624897703196,"Very strong"
"AL589663.1","CHOL","1",52366592,52366643,45,1,45,"1 : 52366592 - 52366643",3.8066624897703196,"Very strong"
"ENSG00000250714","CHOL","8",23082746,23088428,45,1,45,"8 : 23082746 - 23088428",3.8066624897703196,"Very strong"
"ENSG00000272631","CHOL","10",88509511,88516055,45,1,45,"10 : 88509511 - 88516055",3.8066624897703196,"Very strong"
"ENSG00000287375","CHOL","4",75806384,75808144,45,1,45,"4 : 75806384 - 75808144",3.8066624897703196,"Very strong"
"ENSG00000293110","CHOL","6",126625369,127534754,45,1,45,"6 : 126625369 - 127534754",3.8066624897703196,"Very strong"
"IPO8","CHOL","12",30781922,30848803,45,1,45,"12 : 30781922 - 30848803",3.8066624897703196,"Very strong"
"LINC02068","CHOL","3",172278678,172313397,45,1,45,"3 : 172278678 - 172313397",3.8066624897703196,"Very strong"
"NPEPPS","CHOL","17",45600308,45702031,45,1,45,"17 : 45600308 - 45702031",3.8066624897703196,"Very strong"
"PPP1R13L","CHOL","19",45882896,45909607,45,1,45,"19 : 45882896 - 45909607",3.8066624897703196,"Very strong"
"SERPINC1","CHOL","1",173872938,173886465,45,1,45,"1 : 173872938 - 173886465",3.8066624897703196,"Very strong"
"TSPOAP1-AS1","CHOL","17",56401833,56493127,45,1,45,"17 : 56401833 - 56493127",3.8066624897703196,"Very strong"
"WDR83","CHOL","19",12777616,12786646,45,1,45,"19 : 12777616 - 12786646",3.8066624897703196,"Very strong"
"ATP8B1-AS1","CHOL","18",55297512,55336528,45,1,45,"18 : 55297512 - 55336528",3.8066624897703196,"Very strong"
"CCDC18","CHOL","1",93645476,93744287,45,1,45,"1 : 93645476 - 93744287",3.8066624897703196,"Very strong"
"DDX19B","CHOL","16",70323566,70369208,45,1,45,"16 : 70323566 - 70369208",3.8066624897703196,"Very strong"
"ENSG00000219784","CHOL","6",121799419,121801054,45,1,45,"6 : 121799419 - 121801054",3.8066624897703196,"Very strong"
"ENSG00000251613","CHOL","5",71982939,72067560,45,1,45,"5 : 71982939 - 72067560",3.8066624897703196,"Very strong"
"ENSG00000261472","CHOL","16",79539500,79550190,45,1,45,"16 : 79539500 - 79550190",3.8066624897703196,"Very strong"
"HAPLN4","CHOL","19",19365565,19373613,45,1,45,"19 : 19365565 - 19373613",3.8066624897703196,"Very strong"
"IFT80","CHOL","3",159974774,160117668,45,1,45,"3 : 159974774 - 160117668",3.8066624897703196,"Very strong"
"MIR548A1HG","CHOL","6",18522966,18674232,45,1,45,"6 : 18522966 - 18674232",3.8066624897703196,"Very strong"
"USF3","CHOL","3",113367232,113415493,45,1,45,"3 : 113367232 - 113415493",3.8066624897703196,"Very strong"
"AL732363.1","CHOL","1",149036312,149036377,45,1,45,"1 : 149036312 - 149036377",3.8066624897703196,"Very strong"
"BUD13","CHOL","11",116618886,116643703,45,1,45,"11 : 116618886 - 116643703",3.8066624897703196,"Very strong"
"CACYBP","CHOL","1",174968300,174981163,45,1,45,"1 : 174968300 - 174981163",3.8066624897703196,"Very strong"
"ENSG00000232693","CHOL","2",65600834,65607819,45,1,45,"2 : 65600834 - 65607819",3.8066624897703196,"Very strong"
"IL1B","CHOL","2",113587328,113594393,45,1,45,"2 : 113587328 - 113594393",3.8066624897703196,"Very strong"
"NDUFA8","CHOL","9",124906337,124922058,45,1,45,"9 : 124906337 - 124922058",3.8066624897703196,"Very strong"
"PDE3A","CHOL","12",20521471,20841517,45,1,45,"12 : 20521471 - 20841517",3.8066624897703196,"Very strong"
"RPL21P61","CHOL","6",19143926,19144391,45,1,45,"6 : 19143926 - 19144391",3.8066624897703196,"Very strong"
"AHNAK","CHOL","11",62201014,62323707,45,1,45,"11 : 62201014 - 62323707",3.8066624897703196,"Very strong"
"AMD1P4","CHOL","6",11861859,11863203,45,1,45,"6 : 11861859 - 11863203",3.8066624897703196,"Very strong"
"BCAS1","CHOL","20",52553316,52687133,45,1,45,"20 : 52553316 - 52687133",3.8066624897703196,"Very strong"
"LITAF","CHOL","16",11641578,11730237,45,1,45,"16 : 11641578 - 11730237",3.8066624897703196,"Very strong"
"MEMO1","CHOL","2",32090129,32236299,45,1,45,"2 : 32090129 - 32236299",3.8066624897703196,"Very strong"
"RNU6-428P","CHOL","3",146289264,146289370,45,1,45,"3 : 146289264 - 146289370",3.8066624897703196,"Very strong"
"TJP1","CHOL","15",29991571,30261118,45,1,45,"15 : 29991571 - 30261118",3.8066624897703196,"Very strong"
"TMEM63B","CHOL","6",44094651,44123256,45,1,45,"6 : 44094651 - 44123256",3.8066624897703196,"Very strong"
"UGT2B7","CHOL","4",69917081,69978705,45,1,45,"4 : 69917081 - 69978705",3.8066624897703196,"Very strong"
"DGKD","CHOL","2",234263140,234380750,45,1,45,"2 : 234263140 - 234380750",3.8066624897703196,"Very strong"
"ENSG00000284699","CHOL","1",25031385,25044087,45,1,45,"1 : 25031385 - 25044087",3.8066624897703196,"Very strong"
"KCNJ2-AS1","CHOL","17",68163102,68165545,45,1,45,"17 : 68163102 - 68165545",3.8066624897703196,"Very strong"
"NOP56","CHOL","20",2633239,2639039,45,1,45,"20 : 2633239 - 2639039",3.8066624897703196,"Very strong"
"PHLPP2","CHOL","16",71671738,71758604,45,1,45,"16 : 71671738 - 71758604",3.8066624897703196,"Very strong"
"RNU6-41P","CHOL","1",182951347,182951453,45,1,45,"1 : 182951347 - 182951453",3.8066624897703196,"Very strong"
"ARL15","CHOL","5",53179772,53606412,45,1,45,"5 : 53179772 - 53606412",3.8066624897703196,"Very strong"
"ENSG00000217644","CHOL","1",33445548,33446073,45,1,45,"1 : 33445548 - 33446073",3.8066624897703196,"Very strong"
"ENSG00000288962","CHOL","7",25991150,25991557,45,1,45,"7 : 25991150 - 25991557",3.8066624897703196,"Very strong"
"ENSG00000290870","CHOL","6",29817327,29853392,45,1,45,"6 : 29817327 - 29853392",3.8066624897703196,"Very strong"
"GRM2","CHOL","3",51741084,51752629,45,1,45,"3 : 51741084 - 51752629",3.8066624897703196,"Very strong"
"HGFAC","CHOL","4",3443695,3451213,45,1,45,"4 : 3443695 - 3451213",3.8066624897703196,"Very strong"
"HIVEP3","CHOL","1",41972036,42501596,45,1,45,"1 : 41972036 - 42501596",3.8066624897703196,"Very strong"
"MTND1P28","CHOL","2",117781494,117782443,45,1,45,"2 : 117781494 - 117782443",3.8066624897703196,"Very strong"
"NAB1","CHOL","2",191511472,191557492,45,1,45,"2 : 191511472 - 191557492",3.8066624897703196,"Very strong"
"RAB17","CHOL","2",238482965,238510257,45,1,45,"2 : 238482965 - 238510257",3.8066624897703196,"Very strong"
"RABEP1","CHOL","17",5185560,5289660,45,1,45,"17 : 5185560 - 5289660",3.8066624897703196,"Very strong"
"RNU6-634P","CHOL","2",55727086,55727191,45,1,45,"2 : 55727086 - 55727191",3.8066624897703196,"Very strong"
"SCNN1D","CHOL","1",1215816,1227409,45,1,45,"1 : 1215816 - 1227409",3.8066624897703196,"Very strong"
"SLC44A1","CHOL","9",108006903,108201452,45,1,45,"9 : 108006903 - 108201452",3.8066624897703196,"Very strong"
"BEND5","CHOL","1",49193191,49242641,45,1,45,"1 : 49193191 - 49242641",3.8066624897703196,"Very strong"
"CFH","CHOL","1",196620884,196721606,45,1,45,"1 : 196620884 - 196721606",3.8066624897703196,"Very strong"
"ENSG00000263588","CHOL","18",19668021,19678741,45,1,45,"18 : 19668021 - 19678741",3.8066624897703196,"Very strong"
"FAM25A","CHOL","10",88780051,88784487,45,1,45,"10 : 88780051 - 88784487",3.8066624897703196,"Very strong"
"FCSK","CHOL","16",70488498,70514177,45,1,45,"16 : 70488498 - 70514177",3.8066624897703196,"Very strong"
"MMP26","CHOL","11",4726014,5013661,45,1,45,"11 : 4726014 - 5013661",3.8066624897703196,"Very strong"
"SLC5A6","CHOL","2",27422455,27435826,45,1,45,"2 : 27422455 - 27435826",3.8066624897703196,"Very strong"
"CES2","CHOL","16",66968347,66978999,45,1,45,"16 : 66968347 - 66978999",3.8066624897703196,"Very strong"
"CNOT4","CHOL","7",135046547,135194893,45,1,45,"7 : 135046547 - 135194893",3.8066624897703196,"Very strong"
"LTBR","CHOL","12",6484211,6500737,45,1,45,"12 : 6484211 - 6500737",3.8066624897703196,"Very strong"
"PTBP1","CHOL","19",797075,812327,45,1,45,"19 : 797075 - 812327",3.8066624897703196,"Very strong"
"ZNF846","CHOL","19",9862669,9903856,45,1,45,"19 : 9862669 - 9903856",3.8066624897703196,"Very strong"
"ZNF90","CHOL","19",20188803,20237885,45,1,45,"19 : 20188803 - 20237885",3.8066624897703196,"Very strong"
"C22orf46P","CHOL","22",42086632,42094140,45,1,45,"22 : 42086632 - 42094140",3.8066624897703196,"Very strong"
"DNAJC13","CHOL","3",132136346,132257876,45,1,45,"3 : 132136346 - 132257876",3.8066624897703196,"Very strong"
"DPP9","CHOL","19",4674353,4724685,45,1,45,"19 : 4674353 - 4724685",3.8066624897703196,"Very strong"
"DTX3L","CHOL","3",122283185,122294050,45,1,45,"3 : 122283185 - 122294050",3.8066624897703196,"Very strong"
"ENSG00000223410","CHOL","20",38749682,38754998,45,1,45,"20 : 38749682 - 38754998",3.8066624897703196,"Very strong"
"ENSG00000284634","CHOL","12",9600891,9810988,45,1,45,"12 : 9600891 - 9810988",3.8066624897703196,"Very strong"
"HMGA2-AS1","CHOL","12",66245120,66275947,45,1,45,"12 : 66245120 - 66275947",3.8066624897703196,"Very strong"
"PDE5A","CHOL","4",120415552,120549959,45,1,45,"4 : 120415552 - 120549959",3.8066624897703196,"Very strong"
"POLR2M","CHOL","15",57998893,58074960,45,1,45,"15 : 57998893 - 58074960",3.8066624897703196,"Very strong"
"RPL13P2","CHOL","20",44728157,44728815,45,1,45,"20 : 44728157 - 44728815",3.8066624897703196,"Very strong"
"BSND","CHOL","1",55464606,55482845,45,1,45,"1 : 55464606 - 55482845",3.8066624897703196,"Very strong"
"ENSG00000203396","CHOL","9",107090601,107091677,45,1,45,"9 : 107090601 - 107091677",3.8066624897703196,"Very strong"
"ENSG00000227088","CHOL","2",77879151,78517595,45,1,45,"2 : 77879151 - 78517595",3.8066624897703196,"Very strong"
"F12","CHOL","5",176829134,176843584,45,1,45,"5 : 176829134 - 176843584",3.8066624897703196,"Very strong"
"NUMB","CHOL","14",73741815,73925323,45,1,45,"14 : 73741815 - 73925323",3.8066624897703196,"Very strong"
"RER1","CHOL","1",2323214,2336881,45,1,45,"1 : 2323214 - 2336881",3.8066624897703196,"Very strong"
"RN7SL793P","CHOL","12",102611098,102611391,45,1,45,"12 : 102611098 - 102611391",3.8066624897703196,"Very strong"
"TCF7L2","CHOL","10",114710006,114927437,45,1,45,"10 : 114710006 - 114927437",3.8066624897703196,"Very strong"
"USO1","CHOL","4",76649761,76735439,45,1,45,"4 : 76649761 - 76735439",3.8066624897703196,"Very strong"
"UTP4","CHOL","16",69165194,69265033,45,1,45,"16 : 69165194 - 69265033",3.8066624897703196,"Very strong"
"VAC14-AS1","CHOL","16",70788938,70807154,45,1,45,"16 : 70788938 - 70807154",3.8066624897703196,"Very strong"
"AC012181.1","CHOL","16",56991177,56991273,45,1,45,"16 : 56991177 - 56991273",3.8066624897703196,"Very strong"
"APLNR","CHOL","11",57001051,57004724,45,1,45,"11 : 57001051 - 57004724",3.8066624897703196,"Very strong"
"B4GALT1","CHOL","9",33104080,33167354,45,1,45,"9 : 33104080 - 33167354",3.8066624897703196,"Very strong"
"CAPN1","CHOL","11",64948037,64979477,45,1,45,"11 : 64948037 - 64979477",3.8066624897703196,"Very strong"
"CCDC9B","CHOL","15",40623653,40633140,45,1,45,"15 : 40623653 - 40633140",3.8066624897703196,"Very strong"
"CRTC3","CHOL","15",91073155,91188577,45,1,45,"15 : 91073155 - 91188577",3.8066624897703196,"Very strong"
"CTBP2P2","CHOL","10",96406121,96407753,45,1,45,"10 : 96406121 - 96407753",3.8066624897703196,"Very strong"
